trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
316,61.0,1944.6871597488987,61.0,2162.732663822518
317,57.0,1922.8172012747107,47.0,2117.792948694963
318,74.0,1980.1356080188723,84.0,2383.0855810295106
319,69.0,1952.921142004982,58.0,2052.136672890712
320,80.0,2109.198158326219,58.0,2092.583457628015
321,77.0,2029.8151393242833,66.0,2154.0025892706094
322,68.0,1945.7034277892435,64.0,2058.308877362905
323,65.0,2034.2687336762945,47.0,2080.6530508787064
324,62.0,1977.8450963252978,55.0,2083.21576764794
325,73.0,1957.2702464163688,63.0,2176.118044264913
326,71.0,1943.9998642904322,62.0,2194.9919937098043
327,59.0,1913.7835177023671,57.0,2157.685397696799
328,78.0,1964.271685676826,49.0,2034.0724264167818
329,86.0,2125.3009396878288,45.0,2029.408612188841
330,74.0,2014.8927427267706,59.0,2080.9103014323878
331,80.0,1962.020449457747,55.0,2141.0401034910956
332,63.0,1998.7874066216139,62.0,2212.894951965125
333,79.0,2018.9022251053927,51.0,2237.5465768876616
334,85.0,2113.9943866081812,64.0,2171.153070314759
335,75.0,2086.887389175589,59.0,2117.1980008444702
336,64.0,1867.007661700866,48.0,2023.1750855307594
337,81.0,1982.8828425763577,52.0,2070.4621838411076
338,68.0,1985.1766716193467,58.0,2042.0534959642316
339,74.0,1939.539994731958,63.0,2129.915535679751
340,80.0,2134.4601979095432,50.0,2122.8390747109916
341,82.0,1979.5069558059909,60.0,2267.478655375677
342,69.0,2040.5339427960066,52.0,2183.4252060494982
343,84.0,2012.0922840551507,65.0,2144.5479852389044
344,74.0,2035.8913561103172,53.0,2034.564541207484
345,63.0,1917.2666835543823,43.0,1984.7485418342512
346,85.0,2048.3641445658786,57.0,2088.4963368374497
347,66.0,1947.0412600579887,50.0,2094.75863935518
348,79.0,2104.7833002941643,61.0,2211.1137678646446
349,76.0,2112.338941215718,62.0,2062.3939170965286
350,69.0,1941.5268849690015,61.0,2092.2419462838743
351,71.0,2013.554344236873,62.0,2066.585601520252
352,57.0,1986.152601500806,60.0,2105.2413841918706
353,84.0,1984.477800333206,56.0,2039.2506713566968
354,77.0,1951.1934802593828,50.0,2108.8376046824887
355,80.0,2005.223531962084,61.0,2165.4054608323368
356,74.0,1963.7364854625505,44.0,1964.3221438414146
357,76.0,2069.7565654479527,58.0,2183.1292374729082
358,85.0,2112.860744186107,65.0,2158.1810606799245
359,73.0,2130.61956282833,53.0,2050.9641193069447
360,66.0,1981.8806424583497,58.0,2097.3213613832086
361,60.0,1878.9923793042442,50.0,2155.243737227197
362,55.0,1901.5414994835,64.0,2219.1174515406788
363,77.0,1980.8369188413185,55.0,2109.6179902976432
364,75.0,2159.0352083272674,62.0,2034.974506239063
365,77.0,1914.4611833685099,43.0,2020.428256420419
366,67.0,1864.422782283533,67.0,2138.2148952123484
367,67.0,2149.5608847141043,63.0,2055.5289538230454
368,67.0,1903.0619224446352,57.0,1980.9819621433228
369,85.0,2083.988165767029,57.0,2211.5526894541626
370,74.0,2107.9766620210576,61.0,2017.5773172209247
371,68.0,1900.3057663986333,48.0,2009.575022074733
372,90.0,2239.161352266184,47.0,2033.5376166441702
373,85.0,2103.96206783657,57.0,2125.6084832401534
374,84.0,2041.082062430721,56.0,2115.774231277822
375,81.0,1914.3160141789049,61.0,2348.7923867445497
376,75.0,1950.148926013028,62.0,2164.7038483429333
377,71.0,1937.2721572127896,62.0,2167.54276490111
378,55.0,1949.1033851543434,49.0,2082.3997456433895
379,74.0,1999.6233022776191,63.0,2193.901347565448
380,69.0,1943.8795438934146,53.0,2162.3070222772244
381,85.0,2026.399428195722,55.0,2067.6026103351937
382,66.0,1989.2751312707892,59.0,2031.16127381512
383,77.0,2024.3231368649624,64.0,2160.1653932739773
384,71.0,1911.3715644920321,53.0,2131.8487773863585
385,85.0,2138.5180165611805,56.0,2077.5966705286787
386,77.0,1998.687359774817,44.0,2051.2600945731065
387,68.0,1989.5396585228573,63.0,2122.9915897064984
388,71.0,2053.6343756572815,60.0,2108.6627575257016
389,69.0,1954.6960455039189,50.0,2142.0675120259816
